observation_date,measurement_type,weather_station_id,attributes,temperature,city
2019-11-22,tmax,GHCND:USC00280907,",,7,0700",52.0,New York
2019-11-22,tmax,GHCND:USC00281335,",,7,0700",54.0,New York
2019-11-22,tmax,GHCND:USC00283704,",,7,0700",55.0,New York
2019-11-22,tmax,GHCND:USC00284987,",,7,0630",53.0,New York
2019-11-22,tmax,GHCND:USC00301309,",,7,0700",50.0,New York
2019-11-22,tmax,GHCND:USC00308577,",,7,0800",49.0,New York
2019-11-22,tmax,GHCND:USW00014732,",,W,2400",54.0,New York
2019-11-22,tmax,GHCND:USW00014734,",,W,2400",53.0,New York
2019-11-22,tmax,GHCND:USW00054743,",,W,",52.0,New York
2019-11-22,tmax,GHCND:USW00054787,",,W,",53.0,New York
2019-11-22,tmax,GHCND:USW00094728,",,W,2400",53.0,New York
2019-11-22,tmax,GHCND:USW00094741,",,W,",56.0,New York
2019-11-22,tmax,GHCND:USW00094745,",,W,2400",51.0,New York
2019-11-22,tmax,GHCND:USW00094789,",,W,2400",52.0,New York
2019-11-23,tmax,GHCND:USC00280907,",,7,0700",49.0,New York
2019-11-23,tmax,GHCND:USC00281335,",,7,0700",52.0,New York
2019-11-23,tmax,GHCND:USC00283704,",,7,0700",52.0,New York
2019-11-23,tmax,GHCND:USC00284987,",,7,0630",55.0,New York
2019-11-23,tmax,GHCND:USC00301309,",,7,0700",52.0,New York
2019-11-23,tmax,GHCND:USC00308577,",,7,0800",52.0,New York
2019-11-23,tmax,GHCND:USW00014732,",,W,2400",46.0,New York
2019-11-23,tmax,GHCND:USW00014734,",,W,2400",46.0,New York
2019-11-23,tmax,GHCND:USW00054743,",,W,",47.0,New York
2019-11-23,tmax,GHCND:USW00054787,",,W,",46.0,New York
2019-11-23,tmax,GHCND:USW00094728,",,W,2400",45.0,New York
2019-11-23,tmax,GHCND:USW00094741,",,W,",46.0,New York
2019-11-23,tmax,GHCND:USW00094745,",,W,2400",44.0,New York
2019-11-23,tmax,GHCND:USW00094789,",,W,2400",45.0,New York
2019-11-24,tmax,GHCND:USC00280907,",,7,0700",44.0,New York
2019-11-24,tmax,GHCND:USC00281335,",,7,0700",46.0,New York
2019-11-24,tmax,GHCND:USC00283704,",,7,0700",41.0,New York
2019-11-24,tmax,GHCND:USC00284987,",,7,0630",53.0,New York
2019-11-24,tmax,GHCND:USC00301309,",,7,0700",46.0,New York
2019-11-24,tmax,GHCND:USC00308577,",,7,0800",47.0,New York
2019-11-24,tmax,GHCND:USW00014732,",,W,2400",48.0,New York
2019-11-24,tmax,GHCND:USW00014734,",,W,2400",45.0,New York
2019-11-24,tmax,GHCND:USW00054743,",,W,",46.0,New York
2019-11-24,tmax,GHCND:USW00054787,",,W,",51.0,New York
2019-11-24,tmax,GHCND:USW00094728,",,W,2400",46.0,New York
2019-11-24,tmax,GHCND:USW00094741,",,W,",44.0,New York
2019-11-24,tmax,GHCND:USW00094745,",,W,2400",45.0,New York
2019-11-24,tmax,GHCND:USW00094789,",,W,2400",49.0,New York
2019-11-25,tmax,GHCND:USC00280907,",,7,0700",43.0,New York
2019-11-25,tmax,GHCND:USC00281335,",,7,0700",42.0,New York
2019-11-25,tmax,GHCND:USC00283704,",,7,0700",44.0,New York
2019-11-25,tmax,GHCND:USC00284987,",,7,0630",50.0,New York
2019-11-25,tmax,GHCND:USC00301309,",,7,0700",47.0,New York
2019-11-25,tmax,GHCND:USC00308577,",,7,0800",47.0,New York
2019-11-25,tmax,GHCND:USW00014732,",,W,2400",53.0,New York
2019-11-25,tmax,GHCND:USW00014734,",,W,2400",54.0,New York
2019-11-25,tmax,GHCND:USW00054743,",,W,",55.0,New York
2019-11-25,tmax,GHCND:USW00054787,",,W,",52.0,New York
2019-11-25,tmax,GHCND:USW00094728,",,W,2400",53.0,New York
2019-11-25,tmax,GHCND:USW00094741,",,W,",56.0,New York
2019-11-25,tmax,GHCND:USW00094745,",,W,2400",52.0,New York
2019-11-25,tmax,GHCND:USW00094789,",,W,2400",52.0,New York
2019-11-26,tmax,GHCND:USC00280907,",,7,0700",52.0,New York
2019-11-26,tmax,GHCND:USC00281335,",,7,0700",54.0,New York
2019-11-26,tmax,GHCND:USC00283704,",,7,0700",54.0,New York
2019-11-26,tmax,GHCND:USC00284987,",,7,0630",52.0,New York
2019-11-26,tmax,GHCND:USC00301309,",,7,0700",51.0,New York
2019-11-26,tmax,GHCND:USC00308577,",,7,0800",51.0,New York
2019-11-26,tmax,GHCND:USW00014732,",,W,2400",60.0,New York
2019-11-26,tmax,GHCND:USW00014734,",,W,2400",62.0,New York
2019-11-26,tmax,GHCND:USW00054743,",,W,",63.0,New York
2019-11-26,tmax,GHCND:USW00054787,",,W,",58.0,New York
2019-11-26,tmax,GHCND:USW00094728,",,W,2400",61.0,New York
2019-11-26,tmax,GHCND:USW00094741,",,W,",64.0,New York
2019-11-26,tmax,GHCND:USW00094745,",,W,2400",60.0,New York
2019-11-26,tmax,GHCND:USW00094789,",,W,2400",56.0,New York
2019-11-27,tmax,GHCND:USC00280907,",,7,0700",61.0,New York
2019-11-27,tmax,GHCND:USC00281335,",,7,0700",61.0,New York
2019-11-27,tmax,GHCND:USC00282768,",,7,0800",62.0,New York
2019-11-27,tmax,GHCND:USC00283704,",,7,0700",62.0,New York
2019-11-27,tmax,GHCND:USC00284987,",,7,0630",59.0,New York
2019-11-27,tmax,GHCND:USC00301309,",,7,0700",62.0,New York
2019-11-27,tmax,GHCND:USC00308577,",,7,0800",60.0,New York
2019-11-27,tmax,GHCND:USW00014732,",,W,2400",58.0,New York
2019-11-27,tmax,GHCND:USW00014734,",,W,2400",60.0,New York
2019-11-27,tmax,GHCND:USW00054743,",,W,",60.0,New York
2019-11-27,tmax,GHCND:USW00054787,",,W,",58.0,New York
2019-11-27,tmax,GHCND:USW00094728,",,W,2400",59.0,New York
2019-11-27,tmax,GHCND:USW00094741,",,W,",65.0,New York
2019-11-27,tmax,GHCND:USW00094745,",,W,2400",55.0,New York
2019-11-27,tmax,GHCND:USW00094789,",,W,2400",56.0,New York
2019-11-28,tmax,GHCND:USC00280907,",,7,0700",57.0,New York
2019-11-28,tmax,GHCND:USC00281335,",,7,0700",58.0,New York
2019-11-28,tmax,GHCND:USC00283704,",,7,0700",59.0,New York
2019-11-28,tmax,GHCND:USC00284987,",,7,0630",58.0,New York
2019-11-28,tmax,GHCND:USC00301309,",,7,0700",57.0,New York
2019-11-28,tmax,GHCND:USC00308577,",,7,0800",60.0,New York
2019-11-28,tmax,GHCND:USW00014732,",,W,2400",55.0,New York
2019-11-28,tmax,GHCND:USW00014734,",,W,2400",53.0,New York
2019-11-28,tmax,GHCND:USW00054743,",,W,",54.0,New York
2019-11-28,tmax,GHCND:USW00054787,",,W,",55.0,New York
2019-11-28,tmax,GHCND:USW00094728,",,W,2400",53.0,New York
2019-11-28,tmax,GHCND:USW00094741,",,W,",54.0,New York
2019-11-28,tmax,GHCND:USW00094745,",,W,2400",50.0,New York
2019-11-28,tmax,GHCND:USW00094789,",,W,2400",53.0,New York
2019-11-29,tmax,GHCND:USC00280907,",,7,0700",48.0,New York
2019-11-29,tmax,GHCND:USC00281335,",,7,0700",52.0,New York
2019-11-29,tmax,GHCND:USC00283704,",,7,0700",53.0,New York
2019-11-29,tmax,GHCND:USC00284987,",,7,0630",52.0,New York
2019-11-29,tmax,GHCND:USC00301309,",,7,0700",50.0,New York
2019-11-29,tmax,GHCND:USC00308577,",,7,0800",51.0,New York
2019-11-29,tmax,GHCND:USW00014732,",,W,2400",42.0,New York
2019-11-29,tmax,GHCND:USW00014734,",,W,2400",42.0,New York
2019-11-29,tmax,GHCND:USW00054743,",,W,",42.0,New York
2019-11-29,tmax,GHCND:USW00054787,",,W,",42.0,New York
2019-11-29,tmax,GHCND:USW00094728,",,W,2400",40.0,New York
2019-11-29,tmax,GHCND:USW00094741,",,W,",41.0,New York
2019-11-29,tmax,GHCND:USW00094745,",,W,2400",41.0,New York
2019-11-29,tmax,GHCND:USW00094789,",,W,2400",41.0,New York
2019-11-30,tmax,GHCND:USC00280907,",,7,0700",38.0,New York
2019-11-30,tmax,GHCND:USC00281335,",,7,0700",41.0,New York
2019-11-30,tmax,GHCND:USC00283704,",,7,0700",39.0,New York
2019-11-30,tmax,GHCND:USC00284987,",,7,0630",41.0,New York
2019-11-30,tmax,GHCND:USC00301309,",,7,0700",39.0,New York
2019-11-30,tmax,GHCND:USC00308577,",,7,0800",40.0,New York
2019-11-30,tmax,GHCND:USW00014732,",,W,2400",44.0,New York
2019-11-30,tmax,GHCND:USW00014734,",,W,2400",46.0,New York
2019-11-30,tmax,GHCND:USW00054743,",,W,",46.0,New York
2019-11-30,tmax,GHCND:USW00054787,",,W,",43.0,New York
2019-11-30,tmax,GHCND:USW00094728,",,W,2400",43.0,New York
2019-11-30,tmax,GHCND:USW00094741,",,Z,",43.0,New York
2019-11-30,tmax,GHCND:USW00094745,",,W,2400",41.0,New York
2019-11-30,tmax,GHCND:USW00094789,",,W,2400",44.0,New York
2019-12-01,tmax,GHCND:USC00280907,",,7,0700",42.0,New York
2019-12-01,tmax,GHCND:USC00281335,",,7,0700",45.0,New York
2019-12-01,tmax,GHCND:USC00283704,",,7,0700",43.0,New York
2019-12-01,tmax,GHCND:USC00284987,",,7,0630",43.0,New York
2019-12-01,tmax,GHCND:USC00301309,",,7,0700",39.0,New York
2019-12-01,tmax,GHCND:USC00308577,",,7,0800",40.0,New York
2019-12-01,tmax,GHCND:USW00014732,",,W,2400",41.0,New York
2019-12-01,tmax,GHCND:USW00014734,",,W,2400",37.0,New York
2019-12-01,tmax,GHCND:USW00054743,",,W,",36.0,New York
2019-12-01,tmax,GHCND:USW00054787,",,W,",42.0,New York
2019-12-01,tmax,GHCND:USW00094728,",,W,2400",39.0,New York
2019-12-01,tmax,GHCND:USW00094741,",,W,",36.0,New York
2019-12-01,tmax,GHCND:USW00094745,",,W,2400",35.0,New York
2019-12-01,tmax,GHCND:USW00094789,",,W,2400",41.0,New York
2019-12-02,tmax,GHCND:USC00280907,",,7,0700",44.0,New York
2019-12-02,tmax,GHCND:USC00281335,",,7,0700",35.0,New York
2019-12-02,tmax,GHCND:USC00283704,",,7,0700",35.0,New York
2019-12-02,tmax,GHCND:USC00284987,",,7,0630",47.0,New York
2019-12-02,tmax,GHCND:USC00301309,",,7,0700",39.0,New York
2019-12-02,tmax,GHCND:USC00308577,",,7,0800",39.0,New York
2019-12-02,tmax,GHCND:USW00014732,",,W,2400",39.0,New York
2019-12-02,tmax,GHCND:USW00014734,",,W,2400",37.0,New York
2019-12-02,tmax,GHCND:USW00054743,",,W,",36.0,New York
2019-12-02,tmax,GHCND:USW00054787,",,W,",40.0,New York
2019-12-02,tmax,GHCND:USW00094728,",,W,2400",37.0,New York
2019-12-02,tmax,GHCND:USW00094741,",,W,",36.0,New York
2019-12-02,tmax,GHCND:USW00094745,",,W,2400",35.0,New York
