"Label (Grouping)","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harris County, Texas!!Percent","Harris County, Texas!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","3,742,132","±4,670","3,742,132","(X)"
"        In labor force","2,564,263","±15,812","68.5%","±0.4"
"            Civilian labor force","2,560,565","±16,024","68.4%","±0.5"
"                Employed","2,411,045","±18,683","64.4%","±0.5"
"                Unemployed","149,520","±9,370","4.0%","±0.3"
"            Armed Forces","3,698","±1,487","0.1%","±0.1"
"        Not in labor force","1,177,869","±17,272","31.5%","±0.4"
"    Civilian labor force","2,560,565","±16,024","2,560,565","(X)"
"        Unemployment Rate","(X)","(X)","5.8%","±0.4"
"    Females 16 years and over","1,898,631","±3,766","1,898,631","(X)"
"        In labor force","1,179,969","±12,286","62.1%","±0.6"
"            Civilian labor force","1,179,335","±12,274","62.1%","±0.6"
"                Employed","1,104,157","±12,937","58.2%","±0.7"
"    Own children of the householder under 6 years","371,395","±6,899","371,395","(X)"
"        All parents in family in labor force","247,639","±9,775","66.7%","±2.3"
"    Own children of the householder 6 to 17 years","802,803","±7,686","802,803","(X)"
"        All parents in family in labor force","561,051","±12,297","69.9%","±1.5"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","2,370,239","±19,810","2,370,239","(X)"
"        Car, truck, or van -- drove alone","1,681,622","±24,435","70.9%","±0.7"
"        Car, truck, or van -- carpooled","273,996","±12,743","11.6%","±0.5"
"        Public transportation (excluding taxicab)","46,556","±4,624","2.0%","±0.2"
"        Walked","30,966","±3,982","1.3%","±0.2"
"        Other means","54,902","±5,832","2.3%","±0.2"
"        Worked from home","282,197","±11,407","11.9%","±0.5"
"        Mean travel time to work (minutes)","29.3","±0.4","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","2,411,045","±18,683","2,411,045","(X)"
"        Management, business, science, and arts occupations","965,980","±18,506","40.1%","±0.7"
"        Service occupations","398,693","±15,319","16.5%","±0.6"
"        Sales and office occupations","472,028","±12,921","19.6%","±0.5"
"        Natural resources, construction, and maintenance occupations","247,491","±10,731","10.3%","±0.4"
"        Production, transportation, and material moving occupations","326,853","±12,616","13.6%","±0.5"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","2,411,045","±18,683","2,411,045","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","45,876","±5,140","1.9%","±0.2"
"        Construction","231,871","±12,514","9.6%","±0.5"
"        Manufacturing","209,790","±10,513","8.7%","±0.4"
"        Wholesale trade","66,340","±6,735","2.8%","±0.3"
"        Retail trade","252,391","±11,428","10.5%","±0.4"
"        Transportation and warehousing, and utilities","187,212","±9,069","7.8%","±0.4"
"        Information","26,126","±3,771","1.1%","±0.2"
"        Finance and insurance, and real estate and rental and leasing","146,483","±10,077","6.1%","±0.4"
"        Professional, scientific, and management, and administrative and waste management services","348,281","±12,865","14.4%","±0.5"
"        Educational services, and health care and social assistance","503,548","±16,201","20.9%","±0.6"
"        Arts, entertainment, and recreation, and accommodation and food services","208,158","±12,074","8.6%","±0.5"
"        Other services, except public administration","121,439","±7,015","5.0%","±0.3"
"        Public administration","63,530","±4,843","2.6%","±0.2"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","2,411,045","±18,683","2,411,045","(X)"
"        Private wage and salary workers","1,964,916","±21,246","81.5%","±0.6"
"        Government workers","279,682","±12,999","11.6%","±0.5"
"        Self-employed in own not incorporated business workers","159,465","±9,410","6.6%","±0.4"
"        Unpaid family workers","6,982","±1,847","0.3%","±0.1"
"INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","1,791,013","±6,849","1,791,013","(X)"
"        Less than $10,000","101,892","±6,762","5.7%","±0.4"
"        $10,000 to $14,999","63,076","±5,066","3.5%","±0.3"
"        $15,000 to $24,999","120,599","±6,957","6.7%","±0.4"
"        $25,000 to $34,999","129,789","±6,395","7.2%","±0.4"
"        $35,000 to $49,999","197,310","±7,768","11.0%","±0.4"
"        $50,000 to $74,999","310,910","±9,761","17.4%","±0.5"
"        $75,000 to $99,999","227,611","±10,323","12.7%","±0.6"
"        $100,000 to $149,999","287,013","±10,958","16.0%","±0.6"
"        $150,000 to $199,999","143,225","±8,179","8.0%","±0.5"
"        $200,000 or more","209,588","±6,174","11.7%","±0.3"
"        Median household income (dollars)","72,336","±986","(X)","(X)"
"        Mean household income (dollars)","106,141","±1,370","(X)","(X)"
"        With earnings","1,529,669","±10,258","85.4%","±0.5"
"            Mean earnings (dollars)","106,165","±1,325","(X)","(X)"
"        With Social Security","389,516","±7,838","21.7%","±0.4"
"            Mean Social Security income (dollars)","22,216","±349","(X)","(X)"
"        With retirement income","281,369","±8,400","15.7%","±0.5"
"            Mean retirement income (dollars)","30,891","±1,368","(X)","(X)"
"        With Supplemental Security Income","78,857","±5,599","4.4%","±0.3"
"            Mean Supplemental Security Income (dollars)","10,339","±533","(X)","(X)"
"        With cash public assistance income","32,658","±3,729","1.8%","±0.2"
"            Mean cash public assistance income (dollars)","3,492","±647","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","242,986","±10,000","13.6%","±0.6"
"    Families","1,189,882","±14,073","1,189,882","(X)"
"        Less than $10,000","51,243","±4,859","4.3%","±0.4"
"        $10,000 to $14,999","29,800","±3,786","2.5%","±0.3"
"        $15,000 to $24,999","59,660","±5,398","5.0%","±0.4"
"        $25,000 to $34,999","77,556","±6,024","6.5%","±0.5"
"        $35,000 to $49,999","120,166","±6,864","10.1%","±0.6"
"        $50,000 to $74,999","188,403","±8,644","15.8%","±0.7"
"        $75,000 to $99,999","154,936","±8,832","13.0%","±0.7"
"        $100,000 to $149,999","216,197","±9,699","18.2%","±0.8"
"        $150,000 to $199,999","112,561","±7,436","9.5%","±0.6"
"        $200,000 or more","179,360","±6,190","15.1%","±0.5"
"        Median family income (dollars)","85,424","±1,570","(X)","(X)"
"        Mean family income (dollars)","122,986","±1,983","(X)","(X)"
"    Per capita income (dollars)","39,483","±527","(X)","(X)"
"    Nonfamily households","601,131","±13,121","601,131","(X)"
"        Median nonfamily income (dollars)","50,568","±925","(X)","(X)"
"        Mean nonfamily income (dollars)","67,834","±2,031","(X)","(X)"
"    Median earnings for workers (dollars)","41,575","±339","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","60,247","±689","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","50,415","±819","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","4,806,260","±1,614","4,806,260","(X)"
"        With health insurance coverage","3,831,244","±26,303","79.7%","±0.5"
"            With private health insurance","2,768,931","±34,463","57.6%","±0.7"
"            With public coverage","1,396,759","±24,526","29.1%","±0.5"
"        No health insurance coverage","975,016","±26,279","20.3%","±0.5"
"    Civilian noninstitutionalized population under 19 years","1,302,312","±4,587","1,302,312","(X)"
"        No health insurance coverage","189,033","±11,521","14.5%","±0.9"
"    Civilian noninstitutionalized population 19 to 64 years","2,926,599","±4,888","2,926,599","(X)"
