"Label (Grouping)","Fresno County, California!!Estimate","Fresno County, California!!Margin of Error","Fresno County, California!!Percent","Fresno County, California!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","347,917","±285","347,917","(X)"
"        Occupied housing units","328,895","±2,707","94.5%","±0.8"
"        Vacant housing units","19,022","±2,667","5.5%","±0.8"
"        Homeowner vacancy rate","0.7","±0.4","(X)","(X)"
"        Rental vacancy rate","3.1","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","347,917","±285","347,917","(X)"
"        1-unit, detached","237,328","±4,813","68.2%","±1.4"
"        1-unit, attached","11,411","±1,720","3.3%","±0.5"
"        2 units","9,468","±1,943","2.7%","±0.6"
"        3 or 4 units","23,479","±2,926","6.7%","±0.8"
"        5 to 9 units","19,582","±2,442","5.6%","±0.7"
"        10 to 19 units","9,421","±1,820","2.7%","±0.5"
"        20 or more units","23,416","±2,731","6.7%","±0.8"
"        Mobile home","13,697","±2,354","3.9%","±0.7"
"        Boat, RV, van, etc.","115","±99","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","347,917","±285","347,917","(X)"
"        Built 2020 or later","9,554","±2,048","2.7%","±0.6"
"        Built 2010 to 2019","32,827","±2,918","9.4%","±0.8"
"        Built 2000 to 2009","56,219","±3,833","16.2%","±1.1"
"        Built 1990 to 1999","47,941","±3,483","13.8%","±1.0"
"        Built 1980 to 1989","44,430","±3,830","12.8%","±1.1"
"        Built 1970 to 1979","57,285","±3,408","16.5%","±1.0"
"        Built 1960 to 1969","35,645","±3,426","10.2%","±1.0"
"        Built 1950 to 1959","31,564","±2,955","9.1%","±0.8"
"        Built 1940 to 1949","16,827","±2,012","4.8%","±0.6"
"        Built 1939 or earlier","15,625","±2,339","4.5%","±0.7"
"ROOMS","","","",""
"    Total housing units","347,917","±285","347,917","(X)"
"        1 room","21,004","±2,715","6.0%","±0.8"
"        2 rooms","6,728","±1,513","1.9%","±0.4"
"        3 rooms","27,019","±2,838","7.8%","±0.8"
"        4 rooms","63,759","±4,292","18.3%","±1.2"
"        5 rooms","73,725","±4,004","21.2%","±1.1"
"        6 rooms","69,876","±4,095","20.1%","±1.2"
"        7 rooms","35,779","±3,699","10.3%","±1.1"
"        8 rooms","27,735","±2,806","8.0%","±0.8"
"        9 rooms or more","22,292","±2,854","6.4%","±0.8"
"        Median rooms","5.3","±0.2","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","347,917","±285","347,917","(X)"
"        No bedroom","21,883","±2,784","6.3%","±0.8"
"        1 bedroom","22,705","±2,583","6.5%","±0.7"
"        2 bedrooms","77,621","±4,283","22.3%","±1.2"
"        3 bedrooms","143,360","±4,664","41.2%","±1.3"
"        4 bedrooms","69,642","±4,199","20.0%","±1.2"
"        5 or more bedrooms","12,706","±2,152","3.7%","±0.6"
"HOUSING TENURE","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        Owner-occupied","191,496","±5,276","58.2%","±1.5"
"        Renter-occupied","137,399","±5,051","41.8%","±1.5"
"        Average household size of owner-occupied unit","3.11","±0.07","(X)","(X)"
"        Average household size of renter-occupied unit","2.92","±0.08","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        Moved in 2021 or later","72,215","±4,397","22.0%","±1.3"
"        Moved in 2018 to 2020","71,154","±4,673","21.6%","±1.4"
"        Moved in 2010 to 2017","84,615","±5,912","25.7%","±1.7"
"        Moved in 2000 to 2009","48,593","±4,154","14.8%","±1.3"
"        Moved in 1990 to 1999","28,195","±2,600","8.6%","±0.8"
"        Moved in 1989 and earlier","24,123","±2,258","7.3%","±0.7"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        No vehicles available","23,081","±2,571","7.0%","±0.8"
"        1 vehicle available","98,598","±4,991","30.0%","±1.5"
"        2 vehicles available","116,790","±5,427","35.5%","±1.6"
"        3 or more vehicles available","90,426","±4,429","27.5%","±1.3"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        Utility gas","180,731","±5,810","55.0%","±1.7"
"        Bottled, tank, or LP gas","16,347","±1,713","5.0%","±0.5"
"        Electricity","110,194","±5,368","33.5%","±1.6"
"        Fuel oil, kerosene, etc.","234","±238","0.1%","±0.1"
"        Coal or coke","0","±221","0.0%","±0.1"
"        Wood","3,156","±1,026","1.0%","±0.3"
"        Solar energy","12,200","±2,356","3.7%","±0.7"
"        Other fuel","2,308","±769","0.7%","±0.2"
"        No fuel used","3,725","±1,245","1.1%","±0.4"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        Lacking complete plumbing facilities","1,131","±565","0.3%","±0.2"
"        Lacking complete kitchen facilities","2,199","±676","0.7%","±0.2"
"        No telephone service available","4,501","±1,192","1.4%","±0.4"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","328,895","±2,707","328,895","(X)"
"        1.00 or less","293,154","±4,056","89.1%","±1.0"
"        1.01 to 1.50","20,431","±3,004","6.2%","±0.9"
"        1.51 or more","15,310","±2,281","4.7%","±0.7"
"VALUE","","","",""
"    Owner-occupied units","191,496","±5,276","191,496","(X)"
"        Less than $50,000","8,645","±1,427","4.5%","±0.7"
"        $50,000 to $99,999","3,705","±979","1.9%","±0.5"
"        $100,000 to $149,999","4,524","±1,189","2.4%","±0.6"
"        $150,000 to $199,999","6,581","±1,359","3.4%","±0.7"
"        $200,000 to $299,999","27,222","±2,900","14.2%","±1.4"
"        $300,000 to $499,999","86,457","±4,479","45.1%","±1.8"
"        $500,000 to $999,999","47,129","±3,473","24.6%","±1.8"
