"Label (Grouping)","Maricopa County, Arizona!!Estimate","Maricopa County, Arizona!!Margin of Error","Maricopa County, Arizona!!Percent","Maricopa County, Arizona!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","1,913,863","±926","1,913,863","(X)"
"        Occupied housing units","1,753,589","±8,505","91.6%","±0.4"
"        Vacant housing units","160,274","±8,615","8.4%","±0.4"
"        Homeowner vacancy rate","0.9","±0.2","(X)","(X)"
"        Rental vacancy rate","7.8","±0.8","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","1,913,863","±926","1,913,863","(X)"
"        1-unit, detached","1,235,462","±10,665","64.6%","±0.6"
"        1-unit, attached","104,365","±5,948","5.5%","±0.3"
"        2 units","21,115","±2,990","1.1%","±0.2"
"        3 or 4 units","74,377","±6,180","3.9%","±0.3"
"        5 to 9 units","77,024","±6,231","4.0%","±0.3"
"        10 to 19 units","83,721","±6,706","4.4%","±0.3"
"        20 or more units","235,031","±7,132","12.3%","±0.4"
"        Mobile home","79,796","±4,841","4.2%","±0.3"
"        Boat, RV, van, etc.","2,972","±983","0.2%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","1,913,863","±926","1,913,863","(X)"
"        Built 2020 or later","84,503","±6,305","4.4%","±0.3"
"        Built 2010 to 2019","239,430","±9,189","12.5%","±0.5"
"        Built 2000 to 2009","426,201","±11,351","22.3%","±0.6"
"        Built 1990 to 1999","321,374","±8,940","16.8%","±0.5"
"        Built 1980 to 1989","307,719","±9,516","16.1%","±0.5"
"        Built 1970 to 1979","283,683","±8,803","14.8%","±0.5"
"        Built 1960 to 1969","115,878","±6,011","6.1%","±0.3"
"        Built 1950 to 1959","90,976","±4,866","4.8%","±0.3"
"        Built 1940 to 1949","24,667","±2,393","1.3%","±0.1"
"        Built 1939 or earlier","19,432","±3,178","1.0%","±0.2"
"ROOMS","","","",""
"    Total housing units","1,913,863","±926","1,913,863","(X)"
"        1 room","55,583","±4,249","2.9%","±0.2"
"        2 rooms","83,980","±5,325","4.4%","±0.3"
"        3 rooms","186,321","±7,874","9.7%","±0.4"
"        4 rooms","306,984","±9,748","16.0%","±0.5"
"        5 rooms","352,848","±12,400","18.4%","±0.6"
"        6 rooms","334,943","±9,497","17.5%","±0.5"
"        7 rooms","240,892","±10,041","12.6%","±0.5"
"        8 rooms","164,891","±6,910","8.6%","±0.4"
"        9 rooms or more","187,421","±7,363","9.8%","±0.4"
"        Median rooms","5.4","±0.1","(X)","(X)"
"BEDROOMS","","","",""
"    Total housing units","1,913,863","±926","1,913,863","(X)"
"        No bedroom","63,703","±4,989","3.3%","±0.3"
"        1 bedroom","210,610","±8,738","11.0%","±0.5"
"        2 bedrooms","471,351","±11,863","24.6%","±0.6"
"        3 bedrooms","645,168","±11,244","33.7%","±0.6"
"        4 bedrooms","411,600","±10,146","21.5%","±0.5"
"        5 or more bedrooms","111,431","±5,664","5.8%","±0.3"
"HOUSING TENURE","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        Owner-occupied","1,147,475","±11,541","65.4%","±0.6"
"        Renter-occupied","606,114","±11,547","34.6%","±0.6"
"        Average household size of owner-occupied unit","2.66","±0.02","(X)","(X)"
"        Average household size of renter-occupied unit","2.40","±0.04","(X)","(X)"
"YEAR HOUSEHOLDER MOVED INTO UNIT","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        Moved in 2021 or later","538,902","±12,162","30.7%","±0.6"
"        Moved in 2018 to 2020","377,788","±10,267","21.5%","±0.6"
"        Moved in 2010 to 2017","421,553","±11,082","24.0%","±0.6"
"        Moved in 2000 to 2009","234,458","±7,189","13.4%","±0.4"
"        Moved in 1990 to 1999","116,741","±5,928","6.7%","±0.3"
"        Moved in 1989 and earlier","64,147","±3,607","3.7%","±0.2"
"VEHICLES AVAILABLE","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        No vehicles available","91,149","±6,188","5.2%","±0.3"
"        1 vehicle available","605,196","±11,545","34.5%","±0.7"
"        2 vehicles available","658,664","±10,304","37.6%","±0.5"
"        3 or more vehicles available","398,580","±9,574","22.7%","±0.6"
"HOUSE HEATING FUEL","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        Utility gas","491,706","±12,083","28.0%","±0.7"
"        Bottled, tank, or LP gas","19,550","±2,860","1.1%","±0.2"
"        Electricity","1,197,134","±13,479","68.3%","±0.7"
"        Fuel oil, kerosene, etc.","1,383","±655","0.1%","±0.1"
"        Coal or coke","407","±662","0.0%","±0.1"
"        Wood","1,551","±829","0.1%","±0.1"
"        Solar energy","20,451","±2,743","1.2%","±0.2"
"        Other fuel","1,554","±932","0.1%","±0.1"
"        No fuel used","19,853","±2,825","1.1%","±0.2"
"SELECTED CHARACTERISTICS","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        Lacking complete plumbing facilities","9,254","±2,469","0.5%","±0.1"
"        Lacking complete kitchen facilities","11,887","±2,441","0.7%","±0.1"
"        No telephone service available","18,383","±3,203","1.0%","±0.2"
"OCCUPANTS PER ROOM","","","",""
"    Occupied housing units","1,753,589","±8,505","1,753,589","(X)"
"        1.00 or less","1,674,722","±10,031","95.5%","±0.4"
"        1.01 to 1.50","52,967","±5,654","3.0%","±0.3"
"        1.51 or more","25,900","±3,298","1.5%","±0.2"
"VALUE","","","",""
"    Owner-occupied units","1,147,475","±11,541","1,147,475","(X)"
"        Less than $50,000","46,824","±3,530","4.1%","±0.3"
"        $50,000 to $99,999","19,929","±2,455","1.7%","±0.2"
"        $100,000 to $149,999","12,342","±1,891","1.1%","±0.2"
"        $150,000 to $199,999","19,983","±2,643","1.7%","±0.2"
"        $200,000 to $299,999","95,882","±5,880","8.4%","±0.5"
"        $300,000 to $499,999","453,619","±10,912","39.5%","±0.9"
"        $500,000 to $999,999","406,118","±9,949","35.4%","±0.8"
"        $1,000,000 or more","92,778","±4,523","8.1%","±0.4"
"        Median (dollars)","468,700","±3,665","(X)","(X)"
"MORTGAGE STATUS","","","",""
"    Owner-occupied units","1,147,475","±11,541","1,147,475","(X)"
"        Housing units with a mortgage","758,462","±12,659","66.1%","±0.8"
"        Housing units without a mortgage","389,013","±8,677","33.9%","±0.8"
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","",""
"    Housing units with a mortgage","758,462","±12,659","758,462","(X)"
"        Less than $500","6,447","±1,495","0.9%","±0.2"
"        $500 to $999","59,685","±4,757","7.9%","±0.6"
"        $1,000 to $1,499","168,395","±6,554","22.2%","±0.8"
"        $1,500 to $1,999","190,911","±7,040","25.2%","±0.9"
"        $2,000 to $2,499","144,427","±7,486","19.0%","±0.9"
"        $2,500 to $2,999","72,666","±4,868","9.6%","±0.6"
"        $3,000 or more","115,931","±6,030","15.3%","±0.7"
"        Median (dollars)","1,873","±21","(X)","(X)"
"    Housing units without a mortgage","389,013","±8,677","389,013","(X)"
"        Less than $250","25,753","±3,036","6.6%","±0.8"
"        $250 to $399","78,977","±4,658","20.3%","±1.1"
"        $400 to $599","124,169","±4,896","31.9%","±1.2"
"        $600 to $799","74,108","±5,273","19.1%","±1.2"
"        $800 to $999","38,655","±3,816","9.9%","±1.0"
"        $1,000 or more","47,351","±3,581","12.2%","±0.9"
"        Median (dollars)","542","±8","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","752,868","±12,300","752,868","(X)"
"        Less than 20.0 percent","379,101","±10,176","50.4%","±1.0"
"        20.0 to 24.9 percent","111,801","±5,144","14.9%","±0.7"
"        25.0 to 29.9 percent","65,138","±4,520","8.7%","±0.6"
"        30.0 to 34.9 percent","44,299","±4,017","5.9%","±0.5"
"        35.0 percent or more","152,529","±6,768","20.3%","±0.8"
"        Not computed","5,594","±1,541","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","381,351","±8,477","381,351","(X)"
"        Less than 10.0 percent","215,726","±7,585","56.6%","±1.5"
