year,cpi_index
1997,100.1
1998,101.64999999999999
1999,103.99166666666667
2000,106.52499999999999
2001,109.54166666666667
2002,113.04166666666667
2003,117.18333333333334
2004,123.98333333333333
2005,130.33333333333334
2006,136.78333333333333
2007,143.69625
2008,152.11508333333333
2009,161.14841666666666
2010,170.89783333333332
2011,179.58375
2012,189.29466666666667
2013,197.64633333333333
2014,204.90008333333333
2015,213.97158333333334
2016,221.66141666666667
2017,229.10333333333335
2018,237.13091666666665
2019,244.66091666666668
2020,252.45941666666667
2021,261.4748333333333
2022,273.2065
2023,288.056
2024,302.4124166666667
2025,313.5826
